username,precision@40,recall@40
ec_zurich,0.0,0.0
diemobiliar,0.0,0.0
diemobiliar,0.0,0.0
rethinkcircular,0.025,0.0
DECENTplatform,0.0,0.0
tradeplus24,0.0,0.0
teserakt_io,0.0,0.0
SIMoreDualsim,0.025,0.0
MyTechnis,0.025,0.0
MyTechnis,0.025,0.0
Ellisys1,0.05,0.0
venbona_English,0.0,0.0
LinumLabs,0.025,0.0
bluecodepayment,0.0,0.0
instimatch,0.0,0.0
mammut,0.125,0.0
UEFAcom,0.0,0.0
enersissuisse,0.0,0.0
Skope_MRI,0.0,0.0
Polytech_VC,0.075,0.0
zkipster,0.0,0.0
liquiditynet,0.0,0.0
ScanTrust,0.0,0.0
msg_global,0.0,0.0
sofiesgroup,0.0,0.0
myWatchAdvisor,0.0,0.0
emeraldVC,0.05,0.0
ricardo_ch,0.0,0.0
bitforge,0.125,0.0
annanow,0.0,0.0
annanow,0.025,0.0
LargoUpdates,0.05,0.0
GenLots,0.0,0.0
sonectme,0.025,0.0
marcpbernegger,0.175,0.0
leuchterits,0.0,0.0
panterch,0.0,0.0
PureValueMetric,0.0,0.0
decentlab,0.075,0.0
modum_io,0.0,0.0
UNBBCom,0.0,0.0
compasssecurity,0.0,0.0
Creapole,0.025,0.0
cytosurge,0.05,0.0
puzzleitc,0.1,0.0
Bloomioplatform,0.0,0.0
VatorexCH,0.0,0.0
AVECTRIS_IT,0.075,0.0
allthings_here,0.0,0.0
partnersgroup,0.075,0.0
_futurae,0.125,0.0
bluesigntech,0.0,0.0
psich_de,0.0,0.0
netcommsuisse,0.0,0.0
bisongruppe,0.0,0.0
canoo,0.0,0.0
BSI_Software,0.075,0.0
fontself,0.0,0.0
bluebotics,0.05,0.0
camptocamp,0.025,0.0
HYTWatches,0.025,0.0
xovis_ag,0.2,0.0
SwissPropTech,0.175,0.0
creoptix,0.1,0.0
algrano,0.0,0.0
webbedstar,0.0,0.0
realprivatedeal,0.075,0.0
redalpine,0.025,0.0
Chiquita,0.025,0.0
nummo_com,0.05,0.0
janzzjobs,0.05,0.0
strocast,0.05,0.0
westhive,0.025,0.0
securosys,0.05,0.0
biognosys,0.0,0.0
TeylorAG,0.0,0.0
ringier_ag,0.025,0.0
ringier_ag,0.0,0.0
fly_ability,0.0,0.0
georgfischer,0.025,0.0
codecheck_info,0.0,0.0
baculasystems,0.075,0.0
equippo,0.05,0.0
ATLASexperiment,0.0,0.0
appics_official,0.0,0.0
xeitgmbh,0.1,0.0
MassChallengeCH,0.0,0.0
Weblaw,0.0,0.0
farmyCH,0.0,0.0
Novartis,0.0,0.0
Empa_CH,0.0,0.0
ProjectDOLPHIN,0.0,0.0
parashift_ai,0.0,0.0
trekksoft,0.0,0.0
web3foundation,0.15,0.0
magnolia_cms,0.0,0.0
dfinity,0.025,0.0
archromagroup,0.075,0.0
neon_accountapp,0.05,0.0
straumann,0.025,0.0
straumann,0.0,0.0
Offertenportal,0.0,0.0
staubligroup,0.075,0.0
staubligroup,0.075,0.0
sixsq,0.025,0.0
Climeworks,0.075,0.0
optherium,0.0,0.0
moneyland_ch,0.025,0.0
grstiftung_ch,0.0,0.0
liip,0.225,0.0
ExecuJetAvGrp,0.0,0.0
FeriGruppe,0.0,0.0
actelion_com,0.0,0.0
dgt_switzerland,0.0,0.0
echonovum,0.0,0.0
IDQuantique,0.025,0.0
iA,0.05,0.0
SchindlerNA,0.0,0.0
yamobaby,0.0,0.0
ASMALLWORLD,0.0,0.0
ASMALLWORLD,0.0,0.0
Tresorit,0.0,0.0
Tresorit,0.125,0.0
WABCO,0.05,0.0
WABCO,0.025,0.0
zhdk,0.0,0.0
auterion,0.0,0.0
auterion,0.025,0.0
swisslife_group,0.0,0.0
solarimpulse,0.0,0.0
haelixa,0.0,0.0
swissq,0.125,0.0
windingtree,0.05,0.0
Monetha_io,0.0,0.0
hackzurich,0.075,0.0
mimacom,0.0,0.0
Faircustomer,0.0,0.0
SELFRAG_AG,0.0,0.0
netguardians,0.0,0.0
amazeelabs,0.125,0.0
fintoolinfo,0.0,0.0
hes_so,0.0,0.0
SafeSwiss,0.0,0.0
ICTinvestorclub,0.0,0.0
infrontsports,0.05,0.0
ConsulcesiTech,0.0,0.0
AaveAave,0.225,0.0
GI_Index,0.0,0.0
GI_Index,0.0,0.0
Plesk,0.0,0.0
nymproject,0.0,0.0
MCI_Group,0.075,0.0
lombardodier,0.0,0.0
Sportradar,0.025,0.0
sixgroup,0.0,0.0
UTRUST,0.0,0.0
Gallus_Group,0.05,0.0
Fongit1,0.025,0.0
contentserv,0.0,0.0
Sika,0.025,0.0
Frontify,0.0,0.0
ethstatus,0.175,0.0
impacthubzurich,0.0,0.0
Avaloq,0.125,0.0
CardanoStiftung,0.0,0.0
swarovski,0.025,0.0
Ethicalgmbh,0.0,0.0
kizytracking,0.125,0.0
GlionNews,0.025,0.0
dbiservices,0.075,0.0
citavi,0.05,0.0
ulysse_nardin,0.0,0.0
openupresources,0.0,0.0
Hublot,0.0,0.0
Horyou,0.0,0.0
runmyaccounts,0.0,0.0
coop_ch,0.0,0.0
CryptoFinanceAG,0.0,0.0
FN_Press,0.0,0.0
LEGOfoundation,0.05,0.0
MySwitzerland_e,0.025,0.0
swissborg,0.125,0.0
SymbioticsNews,0.0,0.0
pix4d,0.15,0.0
ublox,0.225,0.0
dacadoo,0.1,0.0
Teleport_Media,0.075,0.0
ClimateKIC,0.0,0.0
beyond_animal,0.0,0.0
paper_li,0.05,0.0
NexthinkNews,0.025,0.0
NexthinkNews,0.125,0.0
ABBgroupnews,0.05,0.0
MSF_USA,0.0,0.0
GreaterZurich,0.025,0.0
punkt,0.05,0.0
ilo,0.05,0.0
southpoleglobal,0.0,0.0
ProtonVPN,0.0,0.0
EventerpriseAG,0.0,0.0
profitfxsignal,0.025,0.0
thorchain_org,0.0,0.0
SGS_SA,0.075,0.0
RailService,0.0,0.0
Roche,0.0,0.0
Roche,0.0,0.0
Roche,0.05,0.0
Kenes_Group,0.05,0.0
venturelab_ch,0.125,0.0
IECStandards,0.0,0.0
Temenos,0.0,0.0
IMD_Bschool,0.05,0.0
Ageficom,0.0,0.0
immuniweb,0.0,0.0
santimentfeed,0.0,0.0
IFPMA,0.025,0.0
lastminute_com,0.05,0.0
ProtonMail,0.0,0.0
Syngenta,0.0,0.0
knime,0.0,0.0
Blickch,0.0,0.0
